iter	Passed	Remaining
0	134	134523
1	135	67740
2	136	45449
3	137	34302
4	138	27611
5	139	23153
6	140	19964
7	141	17577
8	142	15722
9	143	14237
10	144	13015
11	145	12001
12	146	11142
13	147	10412
14	148	9770
15	149	9210
16	150	8716
17	151	8281
18	152	7889
19	153	7535
20	154	7219
21	155	6926
22	156	6661
23	157	6419
24	158	6194
25	159	5988
26	160	5792
27	161	5614
28	162	5454
29	163	5298
30	164	5155
31	165	5019
32	166	4891
33	167	4771
34	168	4658
35	169	4550
36	170	4450
37	172	4355
38	173	4263
39	173	4173
40	174	4089
41	175	4008
42	176	3931
43	177	3859
44	178	3789
45	179	3722
46	180	3658
47	181	3596
48	182	3537
49	183	3480
50	184	3425
51	185	3373
52	185	3322
53	186	3273
54	187	3226
55	188	3180
56	189	3135
57	190	3093
58	191	3052
59	192	3012
60	193	2974
61	194	2937
62	195	2901
63	196	2866
64	196	2832
65	197	2801
66	198	2768
67	199	2738
68	200	2708
69	201	2679
70	202	2650
71	203	2622
72	204	2596
73	205	2569
74	206	2545
75	207	2521
76	208	2498
77	209	2474
78	210	2451
79	211	2428
80	212	2406
81	213	2384
82	213	2363
83	214	2343
84	215	2323
85	216	2303
86	217	2284
87	218	2265
88	219	2247
89	220	2229
90	221	2211
91	222	2194
92	223	2176
93	224	2160
94	225	2143
95	226	2128
96	226	2112
97	227	2097
98	228	2082
99	229	2067
100	230	2053
101	231	2039
102	232	2025
103	233	2011
104	234	1998
105	235	1985
106	236	1972
107	237	1959
108	238	1947
109	239	1935
110	240	1923
111	241	1911
112	242	1900
113	243	1888
114	243	1877
115	244	1866
116	245	1855
117	246	1844
118	247	1832
119	248	1822
120	249	1811
121	250	1801
122	251	1791
123	252	1780
124	252	1770
125	253	1761
126	254	1751
127	255	1742
128	256	1733
129	257	1724
130	258	1713
131	259	1704
132	260	1695
133	260	1686
134	261	1678
135	262	1669
136	263	1661
137	264	1653
138	265	1645
139	266	1638
140	267	1630
141	268	1623
142	269	1615
143	270	1608
144	271	1600
145	272	1593
146	273	1586
147	274	1579
148	275	1572
149	276	1565
150	277	1558
151	278	1551
152	279	1544
153	279	1537
154	280	1531
155	281	1524
156	282	1518
157	283	1511
158	284	1505
159	285	1498
160	286	1492
161	287	1486
162	288	1480
163	289	1474
164	290	1469
165	291	1463
166	292	1457
167	293	1452
168	294	1447
169	295	1441
170	296	1436
171	297	1431
172	298	1425
173	299	1420
174	300	1415
175	301	1410
176	302	1405
177	303	1400
178	304	1395
179	305	1390
180	306	1385
181	307	1380
182	308	1376
183	309	1371
184	310	1366
185	311	1361
186	312	1357
187	313	1352
188	314	1347
189	315	1343
190	316	1338
191	317	1334
192	318	1329
193	319	1325
194	320	1321
195	320	1316
196	321	1312
197	322	1307
198	323	1303
199	324	1299
200	325	1295
201	326	1290
202	327	1286
203	328	1282
204	329	1278
205	330	1274
206	331	1270
207	332	1266
208	333	1262
209	334	1258
210	335	1254
211	336	1251
212	337	1247
213	338	1243
